Month,Year,Temp,Ice,Veg,Flood,Rain_mm,Province,Unnamed: 8,Unnamed: 9
6,1.6535436103999792,0.9341101717707444,-0.49559601769476597,0.0,0,0.0,combined_flood_data,1718.435,16.012
7,1.6535436103999792,0.7105036160036458,0.15490596764028944,0.0,0,0.0,combined_flood_data,2128.432,54.564
8,1.6535436103999792,0.7628111337714978,-0.3148479542210106,0.0,0,0.0,combined_flood_data,2627.705,1.781
9,1.6535436103999792,0.6876342074608528,-0.2728279058555926,0.0,0,0.0,combined_flood_data,3276.545,80.735
10,1.6535436103999792,0.6503492086516093,-0.7569213973990614,0.0,0,0.0,combined_flood_data,2821.393,3.231
11,1.6535436103999792,0.38895188029634,-0.9113512983474317,0.0,0,0.0,combined_flood_data,2305.7085,0.233
12,1.6535436103999792,-0.1227852631838205,-0.7134467675074684,0.0,0,0.0,combined_flood_data,2495.3695,2.818
3,-1.6789827428676762,-0.23837070827637868,0.027412960908436576,1.93946508009094,0,-0.21324524741951933,Federal,,
4,-1.6789827428676762,0.7054161981292467,-0.44764366806099143,1.2280773774329596,0,-0.4206862188755789,Federal,,
5,-1.6789827428676762,1.0009147122851778,-0.547852408707964,0.18976481648107607,0,-0.18857296515147912,Federal,,
6,-1.6789827428676762,0.6815253150784782,-0.09935818124726102,0.40113961680572374,0,1.3270455830362844,Federal,,
7,-1.6789827428676762,0.3800708434014004,0.39279521188927324,2.7769965250313673,0,4.684861207237712,Federal,,
8,-1.6789827428676762,0.14185980663669184,-0.05319463596899322,3.7086657280819733,0,6.13992955211509,Federal,,
9,-1.6789827428676762,0.07181167177622527,-0.6453419482737566,2.5818208106880247,0,1.984302262629906,Federal,,
10,-1.6789827428676762,0.3704488813066891,-0.9938336857146856,1.382527273483217,0,-0.6878077764422452,Federal,,
11,-1.6789827428676762,-0.2520173550970806,-0.8354688099077519,1.163398689844842,0,-0.7837141304751104,Federal,,
12,-1.6789827428676762,-0.6930357403747891,-0.6538523394773603,0.8960385057023692,0,-0.13545177734778346,Federal,,
1,-1.5202910117596926,-0.755511201706799,-0.9293544628749314,0.7178537506287684,0,-0.6931248644637564,Federal,,
2,-1.5202910117596926,-0.24295504390574965,-0.812538213360358,0.34025246235539564,0,-0.5699125303578036,Federal,,
3,-1.5202910117596926,0.21805416031410893,-0.8451732600457782,0.3283876282041011,0,0.29816420466816485,Federal,,
4,-1.5202910117596926,0.5746669320909162,-0.11029467867585163,0.2463263703026511,0,0.11084865983558222,Federal,,
5,-1.5202910117596926,0.9610022324157996,-1.0850164212090974,-0.16887015490209112,0,-0.3011511232144095,Federal,,
6,-1.5202910117596926,0.48273439956338204,-0.4848277673943851,1.3272362927529946,0,1.3351951385085072,Federal,,
7,-1.5202910117596926,0.21329742638855445,0.04292076592284649,3.4436852010320647,1,8.408760826340757,Federal,,
8,-1.5202910117596926,0.16208476068782224,-0.36190475586825616,3.167554429054732,0,3.731934679718938,Federal,,
9,-1.5202910117596926,0.23433759874522989,-1.0720337364502448,1.9901968777584569,0,1.9151552721445528,Federal,,
10,-1.5202910117596926,0.1876138156559373,-1.0096278369230296,1.2303578340844388,0,-0.6038524473549263,Federal,,
11,-1.5202910117596926,-0.24555683376705717,-0.9362528727503988,1.199110271889077,0,-0.7496251362437396,Federal,,
12,-1.5202910117596926,-0.7883132315643422,-0.4555298862436833,1.0966656303314417,0,-0.5177354983710118,Federal,,
1,-1.361599280651709,-0.9098663756896304,-0.716377645402779,0.8641542150944549,0,-0.4579058350261571,Federal,,
2,-1.361599280651709,-0.6609845705394229,0.025726547438437223,0.7416007213338722,0,0.05949155263715423,Federal,,
3,-1.361599280651709,-0.1571017968877017,-0.24880418249833156,1.3519671934144517,0,-0.13570023940486337,Federal,,
4,-1.361599280651709,0.45281845372084806,-0.20702324473865066,0.664114795404142,0,-0.22589196612488938,Federal,,
5,-1.361599280651709,1.1987909187823351,-0.7883468738268562,-0.14502456050265153,0,-0.6164246274431724,Federal,,
6,-1.361599280651709,0.8268975360032766,-0.8125862868527701,0.3778915320398026,0,1.1796578907764514,Federal,,
7,-1.361599280651709,0.6075544565271338,-0.9430318711800469,1.024321978429173,0,1.521665912347018,Federal,,
8,-1.361599280651709,-0.0020472822580893347,0.6051207254058524,3.129580269508284,0,8.03164511610479,Federal,,
9,-1.361599280651709,0.05904282713162352,-0.5489324874311151,3.392808639930172,0,2.3308074474336196,Federal,,
10,-1.361599280651709,0.10710066557345417,-1.0828996783058689,1.8055381404104893,0,-0.08578421213749915,Federal,,
11,-1.361599280651709,-0.33286308713607976,-0.9788210972339828,1.4812651636753864,0,-0.6927521713781365,Federal,,
12,-1.361599280651709,-0.8683007161806922,-0.2619294018307591,1.2841977199904022,0,-0.3244320179628019,Federal,,
1,-1.2029075495437254,-0.9701553739067222,-0.3332473262992631,1.159814208790482,0,0.3145627004354424,Federal,,
2,-1.2029075495437254,-0.8251301262608168,0.2130291469170128,1.4054910221011416,0,3.0619815890085302,Federal,,
3,-1.2029075495437254,-0.4479029742880711,-0.19468213213220317,1.850439028430447,0,0.8270902317799864,Federal,,
4,-1.2029075495437254,0.2827810106360806,-0.48028491321855377,1.7255502870770885,0,0.5375822428704156,Federal,,
5,-1.2029075495437254,0.69763370146648,-0.5737417914181554,0.7604291957507084,0,-0.40771649949600497,Federal,,
6,-1.2029075495437254,0.8732784086994476,-0.7045673097830042,0.8259216730037827,0,0.7972499387246833,Federal,,
7,-1.2029075495437254,0.16650847653232723,-0.1819816797604474,3.534849252896663,0,8.956917816670567,Federal,,
8,-1.2029075495437254,0.146751582509175,-0.23148087628870817,3.8037014808826806,0,2.829719258050182,Federal,,
9,-1.2029075495437254,0.038585384853324925,-0.31388185066151525,2.8088046850682162,0,3.2730501064979562,Federal,,
10,-1.2029075495437254,0.1469318837912643,-1.4279286402941176,1.8409088651251786,0,-0.7103432850193977,Federal,,
11,-1.2029075495437254,-0.5000992645553165,-0.6510625828232137,1.7036189151425598,0,-0.5273261337742983,Federal,,
12,-1.2029075495437254,-0.9726764090915508,0.01139492270346036,1.7902405096002167,0,-0.3960387828132468,Federal,,
1,-1.0442158184357417,-1.0409348250571127,0.3061716141791051,2.2323538056508125,0,3.2974739267089164,Federal,,
2,-1.0442158184357417,-0.6591660918293885,-0.7521657458384028,2.381186188351196,0,0.5012570901253254,Federal,,
3,-1.0442158184357417,-0.016037092172228963,-0.9230042341652458,2.427230188430646,0,-0.7161572971550689,Federal,,
4,-1.0442158184357417,0.23761246888835827,0.1981146437055822,1.403745209687377,0,1.1326240233712148,Federal,,
5,-1.0442158184357417,0.8985927959296802,-1.010279140878603,0.8466684071127833,0,-0.5436003985130358,Federal,,
6,-1.0442158184357417,0.6095463986533768,-0.7171863491603133,1.5313613864238518,0,0.6706585206424427,Federal,,
7,-1.0442158184357417,0.3504634375600529,-0.8583621903842138,2.556786541235805,0,3.3631921408065675,Federal,,
8,-1.0442158184357417,0.12114634429989887,-0.2532996042289515,3.6682190552161305,0,6.023549924578836,Federal,,
9,-1.0442158184357417,0.29620063023302357,-0.9874020440105532,2.1030437237081174,0,1.0560231711734627,Federal,,
10,-1.0442158184357417,-0.10058796190854602,-0.3615791038904695,1.857293086813394,0,0.4994930095200575,Federal,,
11,-1.0442158184357417,-0.3213774247831363,-0.7669894878710161,1.5387858473430438,0,-0.43703502223144036,Federal,,
12,-1.0442158184357417,-1.0389794512644965,0.04646364198987808,2.078177864307043,0,-0.31009575726928823,Federal,,
1,-0.8855240873277582,-1.1606341730446665,-0.06995717225915198,2.1817558132294117,0,2.010316240006178,Federal,,
2,-0.8855240873277582,-0.9616945729144735,0.6649710271736062,2.2738922601153537,0,2.1088314456383825,Federal,,
3,-0.8855240873277582,-0.3952602491569893,0.1601164093801064,2.7660083459408336,0,1.9685994606224524,Federal,,
4,-0.8855240873277582,0.13809367841910028,-0.1849993917895214,2.202991628582837,0,-0.47112401646281105,Federal,,
5,-0.8855240873277582,0.6608599775882211,-0.38925957752610285,1.2396117356962177,0,0.4120592116336192,Federal,,
6,-0.8855240873277582,1.076881914356749,-1.0013671159373139,1.0174558083644658,0,0.175672410527744,Federal,,
7,-0.8855240873277582,0.3101751198952751,0.14888139090839034,3.0954933830602096,0,6.322275855806073,Federal,,
8,-0.8855240873277582,0.11311153542440015,-0.715075032444017,3.756438814919423,0,4.26543240868103,Federal,,
9,-0.8855240873277582,0.33515531607414223,-0.8534719744352515,2.7367978532682398,0,2.70153768280263,Federal,,
10,-0.8855240873277582,0.09966262699484302,-1.1980178795961367,1.754301112589534,0,-0.11771158647227425,Federal,,
11,-0.8855240873277582,-0.28166962429770387,-1.0267734468677574,1.3420846378446276,0,-0.5521226470708784,Federal,,
12,-0.8855240873277582,-0.8095861747631813,-0.8477784809156869,1.103263036410416,0,-0.24783116576504982,Federal,,
1,-0.7268323562197746,-1.0543583390729494,0.08130846923204786,1.1275348466584751,0,1.9370199331675892,Federal,,
2,-0.7268323562197746,-0.3977241473045612,-0.03178021700278328,1.6628486873496862,0,0.2606961264605068,Federal,,
3,-0.7268323562197746,-0.43256217810019887,0.1426939932352136,2.1131869688091682,0,-0.028588246597692078,Federal,,
4,-0.7268323562197746,0.4431578040736574,-0.5852753208377652,1.0407431119094206,0,0.22484305162386847,Federal,,
5,-0.7268323562197746,0.9532950121070776,-0.8964635474994812,0.3803715430669545,0,-0.17130485218442182,Federal,,
6,-0.7268323562197746,0.847171291130138,-0.8176339026036937,0.782799471962368,0,1.1483765177900842,Federal,,
7,-0.7268323562197746,0.30207174578784,0.13992594637641184,2.968024276745111,0,9.57683064908507,Federal,,
8,-0.7268323562197746,0.20087480479418043,0.2374589055328938,3.5746119041164124,0,8.583578729702218,Federal,,
9,-0.7268323562197746,0.23294682830985716,-0.7881894740248953,2.2996693793822187,0,1.104870811595383,Federal,,
10,-0.7268323562197746,0.1585803245093458,-1.02574764010916,2.178190364817818,0,-0.19729398335498574,Federal,,
11,-0.7268323562197746,-0.4807938003601969,-0.26172315120356054,1.9153339960500029,0,-0.28134869726513667,Federal,,
12,-0.7268323562197746,-0.9290595118388406,-0.14094944979748528,2.152842921880076,0,0.964936981047949,Federal,,
1,-0.5681406251117911,-0.9277872491923155,-0.9612684223170218,1.9649197979242758,0,-0.728505861391943,Federal,,
2,-0.5681406251117911,-0.7945631724463352,0.45675687744800647,2.2945467147442744,0,4.366357696266911,Federal,,
3,-0.5681406251117911,-0.46760653909773603,0.14057725033198504,2.57200688798151,0,2.6663554555201077,Federal,,
4,-0.5681406251117911,0.4385761347868768,-1.0644623128238593,2.1150700469495525,0,-0.45947114598576083,Federal,,
5,-0.5681406251117911,0.7348619859801172,-0.9049305140647795,1.0797231177887414,0,0.29744366470263306,Federal,,
6,-0.5681406251117911,0.8667627821686674,-0.49071665411966786,1.7529417204986046,0,2.1858298371274625,Federal,,
7,-0.5681406251117911,0.2215001888686915,-0.4709983854742407,3.3599381123789023,0,7.232268139861432,Federal,,
8,-0.5681406251117911,0.18154453896832562,-0.24939177544789662,3.4790957212725386,0,5.1401430806310335,Federal,,
9,-0.5681406251117911,0.10435044537182304,-0.6275070409696981,2.7617692573246555,0,2.1882150728754306,Federal,,
10,-0.5681406251117911,0.19451349156155529,-1.3852681453946067,1.7692434674014983,0,-0.7997150869510599,Federal,,
11,-0.5681406251117911,-0.3186824798235964,-0.7232434880614216,1.3472938144951474,0,-0.6048959879946622,Federal,,
12,-0.5681406251117911,-0.890724028367861,-0.44038703899091236,1.2972587269022344,0,-0.4605892252426207,Federal,,
1,-0.40944889400380746,-1.1963971972100578,-0.04048561274569243,1.2393199018404644,0,2.790213790974468,Federal,,
2,-0.40944889400380746,-0.8415261934590959,-0.3748129529614726,1.1609665487979817,0,-0.14208571427181832,Federal,,
3,-0.40944889400380746,-0.10601221985787568,-0.7053054529199564,2.089499403019366,0,-0.48029226636906164,Federal,,
4,-0.40944889400380746,0.018141063310765815,-0.13065339890298744,2.147474563126418,0,2.176264047929884,Federal,,
5,-0.40944889400380746,0.7734666511812075,-0.8108169057226727,0.9570092884315196,0,-0.07609419191138064,Federal,,
6,-0.40944889400380746,0.25880465741071856,0.08151471985924628,2.345165470048693,0,4.030436995094802,Federal,,
7,-0.40944889400380746,0.13364803905088984,-0.034623862002686676,3.6479273742932743,0,5.692921465222533,Federal,,
8,-0.40944889400380746,0.17311865549174954,-0.0486269273332044,3.3003953546039906,0,4.484377173379892,Federal,,
9,-0.40944889400380746,0.21612900585807562,-0.5884721475117608,2.204341215979008,0,2.068853900654217,Federal,,
10,-0.40944889400380746,0.11872879107545097,-0.9985556444402067,1.6819078604667224,0,-0.1639752215005629,Federal,,
