Month,Year,Temp,Ice,Veg,Flood,Rain_mm,Province,,
5,2013,47.13370968,-0.285806452,1037.756,0,2.589,Balochistan,,
6,2013,45.97583333,-0.258166667,959.1755,0,7.604,Balochistan,,
7,2013,44.93816129,-0.236354839,946.479,0,18.373,Balochistan,,
8,2013,41.77848387,-0.204451613,1144.133,0,26.839,Balochistan,,
9,2013,44.98513333,-0.3068,1088.042,1,2.513,Balochistan,,
10,2013,40.71841935,-0.313032258,1061.126,0,1.879,Balochistan,,
11,2013,31.22026667,-0.2638,1055.039,0,4.093,Balochistan,,
12,2013,24.23148387,-0.317193548,1024.021,0,3.554,Balochistan,,
1,2014,22.61667742,-0.266193548,1026.446,0,14.119,Balochistan,,
2,2014,25.62367857,-0.245321429,1047.2165,0,16.177,Balochistan,,
3,2014,32.08974194,-0.19583871,1052.6785,0,29.347,Balochistan,,
4,2014,40.9225,-0.265633333,1059.2995,0,10.236,Balochistan,,
5,2014,44.33235484,-0.261258065,1024.852,0,11.458,Balochistan,,
6,2014,48.02113333,-0.2946,917.368,0,1.795,Balochistan,,
7,2014,44.71396774,-0.245258065,894.97,1,12.532,Balochistan,,
8,2014,44.33922581,-0.262612903,940.4275,0,10.426,Balochistan,,
9,2014,44.54066667,-0.300066667,961.8445,0,2.47,Balochistan,,
10,2014,39.64893548,-0.297483871,965.56,0,0.609,Balochistan,,
11,2014,31.79363333,-0.295433333,945.5235,0,0.548,Balochistan,,
12,2014,25.92954839,-0.305258065,923,0,3.344,Balochistan,,
1,2015,23.8736129,-0.281967742,958.4505,0,12.128,Balochistan,,
2,2015,27.37489286,-0.205642857,995.8435,0,28.655,Balochistan,,
3,2015,31.73203226,-0.198129032,995.8635,0,23.951,Balochistan,,
4,2015,41.75883333,-0.285266667,981.496,0,10.04,Balochistan,,
5,2015,47.41616129,-0.271677419,943.26,0,6.457,Balochistan,,
6,2015,46.0195,-0.275866667,901.058,0,5.46,Balochistan,,
7,2015,44.27906452,-0.197419355,969.3995,0,32.84,Balochistan,,
8,2015,44.59651613,-0.274193548,1028.612,0,9.202,Balochistan,,
9,2015,43.917,-0.310866667,998.023,0,1.962,Balochistan,,
10,2015,41.14780645,-0.302419355,980.877,0,2.261,Balochistan,,
11,2015,31.65486667,-0.303933333,958.488,0,0.627,Balochistan,,
12,2015,24.37058065,-0.265032258,943.5005,0,5.133,Balochistan,,
1,2016,26.15945161,-0.288258065,956.5585,0,11.994,Balochistan,,
2,2016,27.66145,-0.303947368,988.4315,0,4.746,Balochistan,,
3,2016,33.06254839,-0.15883871,965.4595,0,42.907,Balochistan,,
4,2016,40.55923333,-0.221966667,993.5565,0,17.984,Balochistan,,
5,2016,47.72125806,-0.278741935,914.899,0,9.272,Balochistan,,
6,2016,47.6468,-0.279433333,869.954,1,15.229,Balochistan,,
7,2016,44.72412903,-0.258032258,911.521,0,20.323,Balochistan,,
8,2016,44.37109677,-0.260645161,1014.673,0,25.561,Balochistan,,
9,2016,44.83886667,-0.3073,1005.907,0,3.765,Balochistan,,
10,2016,40.40164516,-0.321419355,972.4725,0,0.13,Balochistan,,
11,2016,32.41803333,-0.3186,952.551,0,0.239,Balochistan,,
12,2016,28.552,-0.31916129,962.8165,0,4.077,Balochistan,,
1,2017,22.72106452,-0.197935484,1004.222,0,56.492,Balochistan,,
2,2017,27.12378571,-0.176321429,1040.445,0,20.562,Balochistan,,
3,2017,33.98393548,-0.229580645,1028.328,0,17.442,Balochistan,,
4,2017,43.95086667,-0.303633333,1005.856,0,4.419,Balochistan,,
5,2017,47.64222581,-0.262451613,931.726,0,16.177,Balochistan,,
6,2017,48.32923333,-0.283966667,899.1,0,10.642,Balochistan,,
7,2017,44.79248387,-0.237483871,957.176,0,29.753,Balochistan,,
8,2017,44.652,-0.277032258,995.9135,0,11.565,Balochistan,,
9,2017,45.19563333,-0.310433333,999.0385,0,3.255,Balochistan,,
10,2017,42.02103226,-0.325870968,967.078,0,0.091,Balochistan,,
11,2017,32.24453333,-0.308966667,952.7505,0,5.532,Balochistan,,
12,2017,24.59322581,-0.288258065,970.7925,0,10.238,Balochistan,,
1,2018,25.18148387,-0.301290323,969.347,0,4.568,Balochistan,,
2,2018,28.06271429,-0.196785714,976.581,0,18.602,Balochistan,,
3,2018,37.59022581,-0.276322581,969.4225,0,16.614,Balochistan,,
4,2018,41.31613333,-0.234133333,916.673,0,8.968,Balochistan,,
5,2018,44.62793548,-0.267064516,871.0775,0,4.33,Balochistan,,
6,2018,48.62123333,-0.284366667,825.7985,0,4.555,Balochistan,,
7,2018,44.106,-0.252677419,833.594,0,16.892,Balochistan,,
8,2018,41.87358065,-0.239967742,886.796,0,7.957,Balochistan,,
9,2018,43.36233333,-0.2938,917.0175,0,2.433,Balochistan,,
10,2018,39.10064516,-0.298935484,901.855,0,0.814,Balochistan,,
11,2018,32.09356667,-0.2943,889.982,0,1.503,Balochistan,,
12,2018,26.31703226,-0.31883871,911.143,0,4.886,Balochistan,,
1,2019,23.68787097,-0.220967742,921.9265,0,33.565,Balochistan,,
2,2019,24.44496429,-0.164464286,940.476,1,36.095,Balochistan,,
3,2019,29.78680645,-0.171451613,949.256,0,68.561,Balochistan,,
4,2019,39.4356,-0.2083,1041.067,0,26.07,Balochistan,,
5,2019,44.47606452,-0.267774194,1037.6125,0,14.166,Balochistan,,
6,2019,46.85016667,-0.294333333,963.3675,0,5.095,Balochistan,,
7,2019,44.34003226,-0.249064516,961.0755,0,28.012,Balochistan,,
8,2019,43.31070968,-0.229,1108.5825,0,24.164,Balochistan,,
9,2019,44.24613333,-0.293133333,1111.275,0,9.795,Balochistan,,
10,2019,38.30280645,-0.298516129,1102.566,0,4.684,Balochistan,,
11,2019,28.32283333,-0.244366667,1101.901,0,9.863,Balochistan,,
12,2019,24.63932258,-0.281935484,1091.5205,0,10.822,Balochistan,,
1,2020,19.7996129,-0.149451613,1057.0545,0,34.946,Balochistan,,
2,2020,26.84037931,-0.277931034,1110.2225,0,12.157,Balochistan,,
3,2020,31.30703226,-0.182290323,1181.786,0,45.587,Balochistan,,
4,2020,39.0772,-0.226833333,1199.4555,0,12.493,Balochistan,,
5,2020,45.44545161,-0.290483871,1104.678,0,8.615,Balochistan,,
6,2020,47.72546667,-0.325266667,1024.907,0,3.764,Balochistan,,
7,2020,45.36345161,-0.266129032,1037.576,0,26.564,Balochistan,,
8,2020,43.04096774,-0.199677419,1203.3805,0,41.936,Balochistan,,
9,2020,43.64786667,-0.308933333,1296.5685,0,6.199,Balochistan,,
10,2020,38.484,-0.335322581,1186.6255,0,1.329,Balochistan,,
11,2020,30.55956667,-0.307133333,1179.093,0,1.592,Balochistan,,
12,2020,23.59377419,-0.313741935,1162.4295,0,13.007,Balochistan,,
1,2021,23.72196774,-0.331193548,1131.5305,0,5.815,Balochistan,,
2,2021,30.61189286,-0.314,1094.8095,0,6.483,Balochistan,,
3,2021,35.40932258,-0.273258065,1028.9595,0,18.257,Balochistan,,
4,2021,40.29666667,-0.268233333,1011.3775,0,7.974,Balochistan,,
5,2021,45.66948387,-0.278741935,973.6645,0,10.581,Balochistan,,
6,2021,47.014,-0.294866667,938.8295,0,9.037,Balochistan,,
7,2021,43.12983871,-0.23283871,1013.322,0,35.57,Balochistan,,
